trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-151.94689402255403,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-118.0532572578737,"{0: 7, 1: 5, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-103.43931362709148,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-216.57453894601025,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-109.39811774073456,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-122.31823462014538,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-0.9140160068970928,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,-33.35708205171156,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-69.81656469590393,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-53.70550349071274,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-70.55965070899677,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-139.36514001765786,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,18,-16.10098080644496,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,13,-67.20661927074747,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,5.028723125607975,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,7,-17.31669663951969,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,7,9.068045977627774,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-30.30336867778369,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-97.23776138444786,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,35.30004342220142,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,25.859545124761222,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-10.247636386439453,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,4,-43.95270665762146,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-32.95142815124199,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-0.5743750789494008,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,2,-85.36249362323738,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,9.26009956851603,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,24.537564278674473,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,5,25.27341559402399,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,8,-4.920102947407221,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
