trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,0,-151.89034698720366,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-54.30804587714995,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-46.16088872143732,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-185.51769888447728,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,0,-168.61182274584584,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-231.0101451398989,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-60.09545524640408,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,8,-21.264464996656976,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9559974818331}",30,0,-185.86009168980019,"{0: 15, 1: 2, 2: 11, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-129.42758406566367,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",25,0,-129.836386951234,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",35,0,-210.2143364372176,"{0: 18, 1: 8, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",25,5,-82.76885293432629,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-29.247084227378252,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",25,15,-36.8169118783237,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-117.79056367165697,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-116.57660941595718,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-121.62690365264238,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",20,15,-3.534873615465135,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,12,-55.27169948987457,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
