trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,17,-21.79761567976858,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-186.68486640529443,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-140.41610878109148,"{0: 15, 1: 7, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-28.032783708753698,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-112.65738979996321,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,10,-146.2140956036473,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-172.058158678843,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-81.92136205374565,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-62.900151664896,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-187.2384308217163,"{0: 9, 1: 1, 2: 12, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-111.89340286538057,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-68.06657569160257,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-115.41098734005467,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-102.69987597728557,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-133.17611265732964,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-151.54531526505988,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-144.68901331507976,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-64.84545658143105,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,7,-171.5825680208386,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 3}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-112.26372034437861,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-192.52647559608758,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-74.62156072906369,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-69.80440703257668,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-155.54962274733205,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-144.29404323184175,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-123.47255970797195,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-100.12401111861946,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-64.9094384302515,"{0: 21, 1: 0, 2: 9, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-123.37856251777592,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-109.15969365622013,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
